,id,name,description,original_price,price,fulfillment_type,brand,review_count,rating_average,favourite_count,pay_later,current_seller,date_created,number_of_images,vnd_cashback,has_video,category,quantity_sold
10322,94998994,Khẩu trang ninja vải nỉ có kính chống bụi dán gáy che kín tai chống nắng chồng gió bụi chạy xe phượt nam nữ - khau trang ni,"Khẩu trang ninja vải nỉ có kính chống bụi dán gáy che kín tai chống nắng chồng gió bụi chạy xe phượt nam nữ - khau trang ni- KHẨU TRANG NINJA VẢI NỈ - CHẤP MỌI NẮNG GIÓ- Chống gió lạnh, chống nắng nó...",30000,30000,dropship,OEM,16,4.3,0,False,Wecan,864,17,0,True,Khẩu trang nữ,136
10323,78631462,Khẩu trang Ninja Nữ chống nắng UPF50+,Việc bảo vệ làn da và sức khỏe trong điều kiện thời tiết nắng nóng là mối quan tâm chung của mọi người. Khẩu trang Ninja Nữ được thiết kế che phủ đầu giúp người dùng tránh được tác hại của tia tử ngoạ...,189000,189000,dropship,zigzag,8,3.1,0,True,zigzag,925,3,0,False,Khẩu trang nữ,28
10324,170433906,Khẩu trang Ninjia bịt mặt chống nắng có lỗ thông hơi thoáng khí,"       Thề là cái khẩu trang y tế không thể cản nổi nắng bụi của cái thời tiết này ấy, mùa hè là mùa cực hình Em vừa tìm được loại khẩu trang này ôi đúng là kín mít như ninja luôn ạ =))))    Che ...",28000,28000,dropship,OEM,0,0.0,0,False,CỦ SU HÀO,543,6,0,False,Root,1
10325,80970103,KHẨU TRANG NINJA CHE KÍN CỔ - Nam/Nữ,"Thiết kế đơn giản,Chống tia UVSiêu mịn, siêu mềm và cực mátKhô thoáng và hút mồ hôi tốtLoại khăn trùm đầu ninja đặc biệt làm bằng 100% cotton thun co dãn rất mát, kiểu dáng như NINJA.Với...",29400,29400,dropship,Vietcharm,8,4.5,0,False,Cửa hàng 3S,917,7,0,False,Khẩu trang nữ,72
10326,118745953,KHẨU TRANG VẢI THAN HOẠT TÍNH 5 LỚP KÈM KÍNH CHỐNG BỌT BẮN CHE BỤI CÓ VAN THỞ CHUYÊN DỤNG DÀNH CHO NHÂN VIÊN Y TẾ. MĂT KÍNH THÁO RỜI TIỆN ÍCH KT TÁI SỬ DỤNG NHIỀU LẦN,KHẨU TRANG VẢI THAN HOẠT TÍNH 5 LỚP KÈM KÍNH CHỐNG BỌT BẮN CHE BỤI CÓ VAN THỞ CHUYÊN DỤNG DÀNH CHO NHÂN VIÊN Y TẾ. MĂT KÍNH THÁO RỜI TIỆN ÍCH KT TÁI SỬ DỤNG NHIỀU LẦN- Khẩu trang có tấm lót than hoạt ...,35000,35000,dropship,OEM,29,4.1,0,False,Wecan,755,1,0,True,Khẩu trang nữ,233
10327,159947649,Khẩu trang chống nắng Ninja nhiều màu,       Với khẩu trang Ninja bạn sẽ được bảo vệ một cách an toàn hiệu quả nhất trong tiết trời hè nắng nóng.   Khẩu trang có nhiều màu nên phù hợp cho cả nam và nữ các bạn nhé.   - Chất liệu: Vải...,25000,25000,dropship,OEM,0,0.0,0,False,Đồ Gia Dụng Hoàng Anh,600,6,0,False,Root,0
10328,159314953,"Khẩu trang che cổ nam nữ chống nắng có tai đeo chống tuột - Vải thoáng khí, dễ thở, tản nhiệt nhanh - Khẩu trang đi phượt không làm rối tóc",Thông số sản phẩm:- Tên sản phẩm: Khẩu trang trùm che nắng | Khẩu trang che cổ | Khẩu trang đi phượt- Chất liệu: Polyester- Kích thước: 31cm x 26cm- Trọng lượng: 25grĐặc điểm nổi bật:- Thiết kế ...,55000,55000,dropship,OEM,20,4.8,0,False,DILDU,602,13,0,False,Khẩu trang nữ,120
10329,194406182,Thùng 300 khẩu trang KF94 Hoàng Dũng tiêu chuẩn Hàn Quốc kháng khuẩn chống bụi mịn cao cấp,TÙY CHỌN ĐẶT HÀNG THÙNG 200 CHIẾC HOẶC 300 CHIẾC VỚI GIÁ TƯƠNG ỨNGKhẩu trang 4D KF94 hoàng dũng mask kháng khuẩn lọc bụi mịn cao cấpXuất xứ: Việt NamPP CHÍNH HÃNG BỞI VENADOQuy cách đóng gói: Túi ...,300000,159000,dropship,Venado,0,0.0,0,True,Venado,397,11,0,True,Khẩu trang nữ,2
10330,164991498,THÙNG 300 KHẨU TRANG NGƯỜI LỚN 4D KF 94 MINI MASK GIÁ SỈ,"       Khẩu trang 4D MINI MASK Mask công nghệ Hàn Quốc Gói 10 chiếc, thùng 300 chiếc hàng các công ty GIÁ SỈ nha, cực kỳ sang trọng cho các bạn   Thiết kế thông minh ôm vừa vặn khuôn mặt, hàng 3 ...",146994,146994,dropship,OEM,0,0.0,0,True,shop đồ chơi công nghệ mới,564,8,0,False,Root,0
10331,144333537,Set 100 khẩu trang 4D Kf94 dc mask kháng khuẩn lọc bụi mịn cao cấp,"MÔ TẢ SẢN PHẨM:Khẩu trang 4D Kf94 dc mask kháng khuẩn lọc bụi mịn cao cấpXuất xứ: Việt NamQuy cách đóng gói: túi 5 chiếc hoặc túi 10 chiếc tùy lôMàu sắc: TrắngTiêu chuẩn: BFE, VFE, PFE ≥ 98%. Ch...",150000,79000,dropship,Venado,0,0.0,0,False,Venado,653,18,0,True,Khẩu trang nữ,7
10332,80737773,Combo Khẩu trang và ví cầm tay thêu tay vải linen JL94XV,"       Khẩu trang thêu tay vải linen JL94X được thêu 2 mặt, và ví cầm tay thêu 1 mặt   ...",395000,395000,dropship,OEM,0,0.0,0,True,Jeslyn Fashion,920,9,0,False,Root,0
10333,69244505,Khẩu trang vải Thô Mỹ HQ038,"Khẩu trang thêu vải linen thêu tay gồm 2 lớp vải linen tự nhiên, được thiết kế và phối màu sắc tinh tế, đẹp mắt, thân thiện với da mặt của bạn, rất mát da, thoáng khí, thấm mồ hôi tốt, chống nắng, chố...",35000,35000,dropship,OEM,0,0.0,0,False,Jeslyn Fashion,1071,3,0,False,Thời Trang,1
10334,109711695,KHẨU TRANG Sword Art Online nhiều nhân vật,"KHẨU TRANG Sword Art Online nhiều nhân vậtKhẩu trang giúp ngăn ngừa bụi bẩn , mùi hôi , ô nhiễm không khíBảo vệ sức khỏeMẫu ngẫu nhiên ...",22000,22000,dropship,OEM,0,0.0,0,False,MPPshop,802,5,0,False,Khẩu trang nữ,2
10335,84714066,Khẩu trang chống nắng Nhật Bản UV cut - loại rộng che cả cổ,"       - Khẩu trang chống nắng nhật thích hợp khi sử dụng đi đường trời nắng, đi làm, chơi quần vợt, leo núi, chơi golf, chạy bộ, làm vườn… phù hợp với mọi lứa tuổi.   - Đặc biệt khẩu trang nhật ...",55000,55000,dropship,OEM,2,2.5,0,False,The True Japan,897,8,0,False,Root,19
10336,166006697,THÙNG 300 CÁI KHẨU TRANG NGƯỜI LỚN KF 94. KHẨU TRANG CÁ 4D KHÁNG KHUẨN ÔM SÁT,       THÙNG 300 CHIẾC KHẨU TRANG CÁ 4D KHÁNG KHUẨN ÔM SÁT MẶT KHÔNG DÍNH SON   LƯU Ý : TUỲ TỪNG LÔ HÀNG VỀ KHÁC NHAU NÊN NHÃN HIỆU CÓ THỂ KHÁC NHAU CÒN CHẤT LƯỢNG THÌ NHƯ NHAU NHA   - Sẵn mầu: ...,113000,113000,dropship,OEM,0,0.0,0,True,CỦ SU HÀO,559,8,0,False,Root,4
10337,51696671,"Combo 9 khẩu trang vải ngăn bụi, ô nhiễm, tránh tác nhân gây bệnh qua đường hô hấp","KHẨU TRANG NAM NỮXuất xứ: Việt NamCó 2 lớp: VẢI COTTONBảo vệ da mặt, ngăn bụi, tránh tác nhân gây bệnh qua đường hô hấp Có nhiều màu sắc mãu mã khác nhau phù hợp với tất thành viên trong gia đìn...",68000,68000,dropship,Vinalea,33,4.5,0,False,HM Shop,1260,3,0,False,Thời Trang,87
10338,102133325,Khẩu trang ninja kính đen chống nắng che kín mặt đeo tai vải thun thoáng mát thích hợp cả nam và nữ,"Khẩu trang mặt nạ ninja có kính chống nắng vải thun lạnh thoáng mát hè 2021- Khẩu trang vải thun lạnh, thoáng mát, co giãn thoải mái- Kính râm màu đen trong suốt dễ nhìn, dễ vệ sinh. Kính tháo nắp tùy...",25000,25000,dropship,OEM,6,3.8,0,False,Wecan,835,7,0,True,Khẩu trang nữ,68
10339,167402370,"Dây đeo khẩu trang silicone mềm chống đau tai, móc đeo khẩu trang cao cấp Venado",...,15000,10000,dropship,Venado,6,4.8,0,False,Venado,554,9,0,False,Khẩu trang nữ,153
10340,83616526,Khẩu trang ninja che kín mặt chống nắng chạy xe phượt hàn xì nam nữ - khau trang ninja chong nang,"Thông tin sản phẩm Khẩu trang ninja che kín mặt- KHẨU TRANG Ninja che kín mặt - Vải thun lạnh siêu mát- Có lỗ thoát hơi, thở thoáng ạ- Chất vải thun lạnh, mềm mại, siêu thoáng- Che kín mặt, trán c...",15000,15000,dropship,OEM,3,3.7,0,False,Shop Smart,904,5,0,False,Khẩu trang nữ,53
10341,97361423,KHẨU TRANG VẢI TRẮNG KHÁNG BỤI 2 LỚP THOẢI MÁI DỄ CHỊU -NEW,       KHẨU TRANG VẢI TRẮNG KHÁNG BỤI 2 LỚP THOẢI MÁI DỄ CHỊU -NEW   ️️Hot hit cập bến khách ơi️️   Khẩu trang TRẮNG KHÁNG BỤI   Kháng bụi tới 99%   Chống tia UV tới 98%   Không gây đau tai k...,19500,19500,dropship,OEM,0,0.0,0,False,Shop Đồ Lót Nam Nữ Thủy Đặng,853,9,0,False,Root,0
10342,80738038,Khẩu trang  thêu tay vải linen Tết JL250X,       Khẩu trang thêu tay vải linen TẾT Tân Sửu JL250X được thêu 2 mặt   ...,118000,118000,dropship,OEM,0,0.0,0,True,Jeslyn Fashion,919,9,0,False,Root,2
10343,77285099,Khẩu trang thêu tay vải linen JL110M,"Cấu tạo: Gồm 2 lớp vải linen tự nhiên, được thêu 2 mặt, thân thiện với da mặt của bạn, rất mát da, thoáng khí, kháng khuẩn, thấm mồ hôi tốt, chống nắng, chống tia UV, thật dễ chịu khi đi dưới trời nón...",94000,94000,dropship,OEM,0,0.0,0,False,Jeslyn Fashion,950,4,0,False,Khẩu trang nữ,1
10344,68400577,Khẩu trang vải Thô Mỹ HQ022,"Khẩu trang thêu vải linen thêu tay gồm 2 lớp vải linen tự nhiên, được thiết kế và phối màu sắc tinh tế, đẹp mắt, thân thiện với da mặt của bạn, rất mát da, thoáng khí, thấm mồ hôi tốt, chống nắng, chố...",35000,35000,dropship,OEM,1,5.0,0,False,Jeslyn Fashion,1083,3,0,False,Thời Trang,3
10345,49367266,COMBO 6 KHẨU TRANG VẢI NHIỀU MÀU,"Khẩu trang vải 3D thiết kế thời trang vừa vặn rất đẹpChất liệu mềm mại thoải mái thích hợp cho cả người lớn và trẻ em, khẩu trang chống nắng chống bụi tốt bảo vệ cho sức khỏe .Khẩu trang vải sử dụng...",29000,29000,dropship,OEM,23,3.7,0,False,FULLY FASHION,1293,7,0,False,Thời Trang,447
10346,19774199,Nón khẩu trang chống nắng UPF50+ Xanh xám Zigzag MAS00307,"Bảo vệ sức khỏe khi ra ngoài trong điều kiện thời tiết nắng gắt khắc nghiệt là mối quan tâm chung của rất nhiều bạn trẻ, Nón khẩu trang zigzag sẽ là một lựa chọn phù hợp dành cho bạn. Sử dụng chất li...",199000,199000,dropship,zigzag,5,4.8,0,True,zigzag,1555,1,0,False,Thời Trang,25
10347,68611402,Khẩu trang thêu tay vải linen JL62X,"Khẩu trang thêu vải linen thêu tay gồm 2 lớp vải linen tự nhiên, được thiết kế và phối màu sắc tinh tế, đẹp mắt, thân thiện với da mặt của bạn, rất mát da, thoáng khí, thấm mồ hôi tốt, chống nắng, chố...",225000,225000,dropship,OEM,0,0.0,0,True,Jeslyn Fashion,1078,4,0,False,Thời Trang,0
10348,72049799,"Khẩu Trang Pitta Màu Xanh Rêu Khaki Nhật Bản (Gói 3 cái, mẫu mới 2020)",Khẩu Trang Pitta Nhật Bản Màu Xanh Rêu Khaki - Gói 3 cái (mẫu mới 2020)Màu sắc: Xanh rêu KhakiSize: Regular Quy cách: Gói 3 cái cùng màu KHÁNG BỤI SIÊU HIỆU QUẢ • Làm bằng chất liệu Polyurethane...,180000,160000,dropship,PITTA MASK,19,4.7,0,True,SaruTo Corner,1047,3,0,False,Phụ kiện thời trang nữ,72
10349,140122775,sét 50 khẩu trang kf94 ,"Tên SP: COMBO 300 Khẩu trang 4D KF94 Mask 4 lớp chống bụi mịn và kháng khuẩn hàng cao cấp VENADOXuất xứ: Việt NamQuy cách đóng gói: Túi 10 chiếcMàu sắc: Trắng4 lớp lọc chuyên sâu, mỗi lớp lọc mậ...",50000,50000,dropship,	OEM,0,0.0,0,False,Chi chi nguyễn,667,1,0,False,Khẩu trang nữ,4
10350,13735662,Khẩu Trang Hot Hit ,Tên sản phẩm: Khẩu trang thông minhVới thiết kế thông minh mẫu mã đẹp Chúng tôi cam kết đem lại cho bạn sự hài lòng nhấtChúc quý khách shopping vui vẻ...,29000,29000,dropship,OEM,0,0.0,0,False,Xưởng Quần Áo Đẹp,1617,2,787,False,Thời Trang,0
10351,89714334, Khẩu trang cao cấp chống tia UV nội địa Nhật Bản màu ngẫu nhiên,"       -----------------------------------------------------------------   Khẩu trang chống tia uv nhật bản được làm bằng chất liệu vải mềm nhẹ, thoáng mát, có tính năng thấm hút mồ hôi nhanh và ...",34900,34900,dropship,OEM,1,5.0,0,False,Khai Anh shop,882,7,0,False,Khẩu trang nữ,39
10352,135816030,"Khẩu Trang Vải Cotton 2 Lớp 5S Chính Hãng, Thông Thoáng, Kháng Khuẩn Cực Tốt (KT5S01)","️ CAM KẾT 100% ẢNH BÁN HÀNG ĐỀU DO SHOP TỰ CHỤP!️ KIỂM TRA HÀNG TRƯỚC KHI NHẬN! Tên sản phẩm: Khẩu Trang Vải Cotton 2 Lớp 5S Chính Hãng, Thông Thoáng, Kháng Khuẩn Cực Tốt (KT5S01). Thương Hiệu: 5S...",25000,15000,dropship,5S,6,4.7,0,False,5S FASHION,682,8,0,False,Khẩu trang nữ,165
10353,138897772,KHẨU TRANG NINJA BỊT MẶT CHE CỔ CHE MẶT THÔNG HƠI THOÁNG KHÍ CHỐNG NẮNG CHẤT COTTON LỤA MÁT,"       KHẨU TRANG NINJA CHE KÍN MẶT CỔ THÔNG HƠI THOÁNG KHÍ CHỐNG NẮNG CHỐNG BỤI BẢO VỆ CỔ MẶT- CHẤP MỌI NẮNG GIÓ   - Chống gió lạnh, chống nắng hanh, chống tia cực tím, chống sương mù, khói bụ ...",35000,35000,dropship,OEM,6,3.5,0,False,Khogiadunghuonghuong,671,9,0,False,Root,41
10354,201039288,Khẩu Trang Vải Nam Nữ Khẩu Trang Màu Cotton Nhật Cao Cấp Chống Nắng 1 Cái,"* XUẤT XỨ: VIỆT NAM* Khẩu trang vải cotton cao cấp (95% cotton + 5% spendex), 2 lớp dày dặn* Vải mát, mềm, mịn, chống UV, quai đeo thoải mái & êm tai, siêu dễ chịu với da* Hạn chế năng xâm nhậ...",30000,20000,dropship,OEM,0,0.0,0,False,TRẦM HƯƠNG LỘC PHÁT,333,5,0,True,Root,12
10355,84648445,"Khẩu Trang Cao cấp Nhật Bản Kháng Khuẩn, Chống Nắng, Chống Tia UV","       Khẩu Trang Cao cấp Nhật Bản Kháng Khuẩn, Chống Nắng, Chống Tia UV   Xuất xứ: Nhật Bản   ---------------------------------------------------------------------   Khẩu trang chống nắng nhật...",45000,45000,dropship,OEM,0,0.0,0,False,Nirako Store,755,6,0,False,Khẩu trang nữ,25
10356,203177031,KHẨU TRANG CHỐNG NẮNG CHE GÒ MÁ,"CHỐNG TIA UV CHE GÒ MÁ HẠN CHẾ TÌNH TRẠNG SẠM ,NÁM,TÀN NHANGQUAI ĐEO ĐIỀU CHỈNH TÁI SỬ DỤNG NHIỀU LẦN ...",37000,37000,dropship,OEM,0,0.0,0,False,ChauMinhPhanShop,320,1,0,False,Khẩu trang nữ,4
10357,170772199,"Khẩu trang y tế 4D KF94 kháng khuẩn chống bụi siêu mịn (300 cái 1 thùng), Khẩu Trang Y tế an toàn đạt tiêu chuẩn ôm sát",       Thùng 300 Chiếc Khẩu trang 4 Lớp KF94 TT MASK Chống Bụi Mịn Và Kháng Khuẩn Hàng Cao Cấp Hàn Quốc   ️Mô tả sản phẩm:   - Thương hiệu: Đại Phát   - Quy cách đóng gói: 10 chiếc/1 gói   - M...,187995,187995,dropship,OEM,0,0.0,0,True,Trà Đá,541,10,0,False,Root,0
10358,193202318,"Khẩu trang làm việc LAVI màu trắng 5 TẶNG 1, khau trang văn phòng làm bằng vải thun 100% cotton cao cấp, khẩu trang 3d thương hiệu Azumikichi ","MÔ TẢ SẢN PHẨM KHẨU TRANG AZUMIKICHIPhần 1: Thông tin sản phẩm Tên SP: Khẩu trang làm việc LAVI màu trắng 5 TẶNG 1, khau trang văn phòng làm bằng vải thun 100% cotton cao cấp, khẩu trang 3d thương ...",25000,25000,dropship,AZUMIKICHI,2,4.0,0,False,Azumikichi,369,16,0,True,Khẩu trang nữ,12
10359,73167671,Set 2 KHẨU TRANG Sans Undertale,"Set 2 KHẨU TRANG Sans UndertaleKhẩu trang giúp ngăn ngừa bụi bẩn , mùi hôi , ô nhiễm không khíBảo vệ sức khỏeMẫu ngẫu nhiên...",42000,42000,dropship,OEM,4,4.8,0,False,MPPshop,1026,9,0,False,Phụ kiện thời trang nữ,22
10360,176170471,Khẩu Trang Trùm Đầu Chống Nắng Chất Liệu Thun Lụa Lạnh FALDO, ...,200000,200000,tiki_delivery,FALDO,3,5.0,0,True,FALDO,510,14,0,True,Khẩu trang nữ,13
10361,49502969,Khẩu trang vải 3 lớp - Combo 5 cái màu ngẫu nhiên,"Có hiệu quả cực tốt trong việc ngăn ngừa bụi, vi khuẩnChống tia UVĐộ thấm hút caoKhông thấm nước, dịchMềm mại, thoáng mát, dễ chịuAn toàn cho sức khỏe người dùng, không gây dị ứng cho daĐộ bề...",49000,49000,dropship,OEM,1,1.0,0,False,Charmi Color Official Store,1289,6,1330,False,Thời Trang,5
10362,89715019, Khẩu trang chống chống tia UV Nhật Bản màu ngẫu nhiên,"       Được làm bằng chất liệu vải mềm nhẹ, thoáng mát, có tính năng thấm hút mồ hôi nhanh và thông thoáng giúp bảo vệ da bạn trước những ngày hè oi bức. Đặc biệt có thể chống tia UV đến 96%.   K...",42900,42900,dropship,OEM,0,0.0,0,False,Khai Anh shop,887,2,0,False,Khẩu trang nữ,3
10363,167903371,"Combo 5 Chiếc Dây Đeo Khẩu Trang Chống Đau Tai, Chất Liệu Nhựa Dẻo Chống Rơi","       Dây đeo khẩu trang chống đau tai   CHẤT LIỆU TỐT: Được làm bằng silicone, an toàn, thân thiện với làn da của bạn, chống trượt, cho bạn cảm giác thoải mái khi đeo   4 NẤC ĐIỀU CHỈNH: Thiết...",20000,17000,dropship,OEM,8,4.8,0,False,Shop Heopo,553,9,0,False,Root,44
10364,199011050,"KHẨU TRANG VẢI THỜI TRANG NEQI FACEMASK ĐỨC, KHẨU TRANG NAM/ NỮ, SET 3 CÁI, MÀU ĐEN, tái sử dụng được, giặt sạch được, ngăn chặn 98 % bụi mịn, COMBO","Qua trận đại dịch Covid 19, khẩu trang trở thành sản phẩm không thể thiếu với tất cả mọi người. Việc sử dụng khẩu trang một lần khiến cho lượng rác thải từ khẩu trang tăng lên nhanh chóng. Các nghiên ...",70000,70000,dropship,OEM,0,0.0,0,False,telileo,341,8,0,False,Khẩu trang nữ,9
10365,194860245,Set 50 khẩu trang KF94 Gold Mask tiêu chuẩn Hàn Quốc kháng khuẩn chống bụi mịn cao cấp,Khẩu trang 4D KF94 Gold mask kháng khuẩn lọc bụi mịn cao cấpXuất xứ: Việt NamPP CHÍNH HÃNG BỞI VENADOQuy cách đóng gói: Túi 5 chiếc hoặc túi 10 chiếc tùy lôMàu sắc: Trắng/Đen tùy chọn đặt hàng4 l...,80000,49000,dropship,Venado,0,0.0,0,False,Venado,394,10,0,True,Khẩu trang nữ,0
